accel_data0, accel_data1, accel_data2,gyro_data0,gyro_data1,gyro_data2 
0.7402344,0.5360107,0.2237549,10.25391,8.728027,-12.51221
0.8198242,0.6506348,-0.09204102,23.6206,-18.49365,-19.47021
0.9202881,0.6442871,-0.05065918,15.99121,-26.85547,-10.62012
1.00293,0.4432373,0.1414795,-33.38623,1.708984,9.460449
0.9213867,0.3435059,0.3133545,-27.83203,8.728027,17.82227
0.8947754,0.3807373,0.3532715,2.441406,5.798339,12.69531
0.8535156,0.5223389,0.3503418,13.24463,15.19775,26.9165
0.7270508,0.55896,-0.05200195,40.40527,-7.141113,5.371093
1.021606,0.6199951,-0.4708252,-51.02539,12.08496,-88.3789
break
0.9708252,0.6068115,-0.09741211,-19.59229,-22.21679,-3.967285
1.001221,0.4825439,0.1047363,-49.74365,23.19336,23.37646
0.9108887,0.2808838,0.5068359,-3.479004,11.59668,31.31103
0.8419189,0.4659424,0.2053223,24.41406,13.48877,30.88379
0.7038574,0.6401367,-0.01147461,19.22607,11.23047,16.6626
0.8641357,0.5600586,-0.3143311,6.286621,-6.774902,-31.92138
break
0.7615967,0.7060547,-0.1530762,-4.638672,-24.41406,-14.95361
1.025391,0.6221924,-0.05480957,-37.71973,-5.493164,1.586914
0.9428711,0.3094482,0.2718506,-40.1001,7.324218,23.31543
0.9338379,0.4449463,0.2945557,-11.59668,11.35254,23.98681
0.7818604,0.5897217,0.2854004,11.71875,35.52246,38.39111
0.6860352,0.5993652,0.01574707,37.59766,-16.90674,8.483887
0.87146,0.6190186,-0.4858398,1.953125,11.71875,-38.20801
break
0.8120117,0.6722412,-0.263916,19.16504,-22.58301,-17.63916
0.9699707,0.6884766,-0.2188721,-35.15625,-8.972168,-5.859375
0.9057617,0.3452148,0.3027344,-34.79004,-5.432128,8.117676
0.979126,0.5037842,0.2487793,-0.2441406,6.103515,15.625
0.8594971,0.4931641,0.2651367,1.220703,28.93066,39.73389
0.814209,0.494751,0.0690918,15.25879,13.73291,27.58789
0.7070313,0.4681396,-0.03955078,24.41406,-2.502441,-8.666992
break
0.7880859,0.7425537,-0.164917,1.647949,-19.89746,-20.93506
0.9747314,0.6713867,-0.1434326,-37.10938,-18.67676,-4.882813
0.9473877,0.3706055,0.2628174,-40.2832,-0.4882812,16.17432
0.9207764,0.3630371,0.2630615,-5.432128,8.117676,17.82227
0.8465576,0.5622559,0.322998,27.34375,23.6206,22.33887
0.7010498,0.5212402,0.2338867,35.33936,1.586914,14.64844
0.8660889,0.6343994,-0.3261719,21.42334,-5.065917,-9.033203
break
0.9470215,0.6882324,-0.03564453,-18.61572,-20.01953,-3.295898
1.030273,0.3529053,0.1057129,-27.16064,-8.483887,9.033203
0.96875,0.4174805,0.3099365,-15.01465,14.83154,24.23096
0.8376465,0.3747559,0.3964844,0.1220703,20.93506,31.06689
0.7926025,0.6021729,0.2340088,26.85547,13.73291,19.53125
0.6629639,0.5244141,-0.1108398,14.09912,-1.770019,-11.65771
break
0.819458,0.6960449,-0.1433105,-6.530761,-16.23535,-17.33398
0.9812012,0.4941406,0.02722168,-33.38623,-13.5498,-0.9765624
1.003296,0.4351807,0.1872559,-23.25439,3.173828,15.8081
0.8742676,0.3630371,0.3344727,8.178711,5.187988,15.93017
0.8339844,0.6298828,0.1040039,9.643555,8.117676,20.81299
0.7178955,0.5516357,0.08276367,-7.019042,24.6582,17.8833
0.7792969,0.6867676,-0.07116699,15.99121,-12.08496,-14.89258
break
0.8392334,0.6463623,-0.1342773,-19.34814,-4.333496,-18.73779
1.036011,0.4373779,0.08703613,-39.42871,-12.93945,6.103515
0.9694824,0.2924805,0.309082,-11.41357,7.080078,15.07568
0.9067383,0.3902588,0.3717041,5.310058,1.831055,23.4375
0.8605957,0.4720459,0.1827393,8.422852,18.73779,33.56934
0.7049561,0.4758301,0.06665039,20.75195,-5.859375,2.319336
0.8308105,0.7470703,-0.333252,4.943848,3.662109,-24.04785
break
1.006348,0.5682373,-0.1890869,-31.49414,-5.554199,-13.79394
0.9630127,0.3741455,0.2547607,-24.04785,-6.469726,13.97705
0.9814453,0.4377441,0.1444092,-9.70459,-1.770019,5.310058
0.8918457,0.4780273,0.2805176,10.19287,22.82715,23.01025
0.7773438,0.5632324,0.1558838,24.04785,-9.94873,18.12744
0.7738037,0.5400391,-0.08410645,-9.094238,8.972168,9.338379
0.8487549,0.5618896,-0.09020996,-16.17432,0.6713867,-22.3999
break
0.8913574,0.5773926,-0.2658691,-21.60644,-34.729,-11.71875
1.077759,0.4136963,0.02075195,-48.88916,0.2441406,13.67187
0.9541016,0.2316895,0.3070068,-23.25439,1.647949,16.17432
0.8964844,0.4710693,0.2836914,19.77539,22.94922,19.71436
0.7397461,0.446167,0.2602539,15.07568,26.42822,18.9209
0.7730713,0.6564941,-0.1608887,28.25928,-6.958007,-2.441406
break
0.9852295,0.6434326,-0.1829834,-21.66748,-27.34375,0.7324218
0.9746094,0.2298584,0.1315918,-32.83691,1.708984,21.72851
0.932251,0.3166504,0.3380127,-4.577637,3.662109,11.1084
0.9071045,0.5738525,0.1949463,14.83154,17.82227,24.41406
0.7000732,0.4822998,0.1356201,29.66308,4.333496,6.896972
0.8106689,0.6719971,-0.2680664,8.789063,9.521484,-27.09961
break
0.8702393,0.572876,-0.05603027,-22.88818,-27.70996,-3.540039
1.025635,0.3867188,0.1358643,-44.18945,14.95361,24.4751
0.8897705,0.1744385,0.4610596,-0.1831055,-3.051758,8.972168
0.9445801,0.6577148,0.1418457,13.67187,13.97705,22.52197
0.6507568,0.3823242,0.3154297,9.399414,30.45654,12.51221
break
0.8881836,0.6114502,-0.01452637,-27.58789,-13.67187,2.13623
1.034424,0.4002686,0.06420898,-24.10888,-5.737304,8.666992
0.911377,0.4281006,0.3005371,-2.380371,2.319336,7.019042
0.9453125,0.5562744,0.1304932,-0.9155272,18.9209,19.71436
0.8048096,0.5328369,0.2783203,-11.77978,34.11865,24.78027
break
0.8325195,0.5698242,-0.1398926,-15.07568,-14.70947,-6.835937
0.9318848,0.5241699,-0.02880859,-21.91162,-16.90674,4.333496
0.947998,0.3955078,0.1236572,-27.40478,4.882813,14.70947
0.9467773,0.4580078,0.211792,5.92041,-8.300781,6.286621
0.921875,0.5251465,0.1164551,-1.89209,18.18848,23.80371
0.744873,0.5640869,0.2070313,13.79394,15.01465,15.19775
0.6875,0.6721191,-0.05187988,15.31982,-0.06103515,-4.760742
break
0.8015137,0.5784912,-0.1358643,-15.68603,-12.87842,-11.35254
1.05188,0.5518799,-0.04077148,-35.09521,-9.216309,6.04248
0.8787842,0.2425537,0.2747803,-20.75195,5.737304,12.39014
0.9418945,0.4946289,0.1865234,5.187988,-5.737304,5.371093
0.9162598,0.5668945,0.114502,-3.967285,23.31543,24.78027
0.7689209,0.4504395,0.1497803,16.96777,9.94873,9.460449
0.7608643,0.7796631,-0.2106934,19.47021,6.958007,-2.807617
break
0.8248291,0.5928955,-0.1799316,-5.859375,-9.094238,-13.73291
0.9991455,0.5623779,-0.06604004,-28.74756,-14.4043,-7.690429
0.9567871,0.3059082,0.0645752,-14.70947,-11.2915,11.1084
0.9754639,0.4073486,0.1445313,-7.93457,-1.159668,5.126953
0.9382324,0.4846191,0.1104736,9.643555,3.967285,20.56885
0.8775635,0.4241943,0.2335205,4.211426,14.77051,19.83643
0.8359375,0.4865723,0.08776855,8.911133,19.9585,9.643555
0.7116699,0.671875,-0.03747559,5.554199,-3.90625,-17.39502
break
0.9332275,0.6057129,-0.1273193,-23.74267,-12.81738,0.8544921
1.004639,0.3037109,0.1190186,-22.09472,-11.65771,10.55908
0.9470215,0.253418,0.2717285,-15.38086,-13.73291,11.16943
0.90271,0.5236816,0.1887207,5.187988,5.737304,17.02881
0.8707275,0.5336914,0.2401123,-1.647949,28.44238,30.70068
0.7270508,0.3885498,0.2171631,27.22168,9.216309,0.8544921
0.8676758,0.7460938,-0.3017578,16.47949,-4.211426,-20.1416
break
0.940918,0.5557861,-0.04138184,-23.13232,-20.87402,-23.74267
0.9752197,0.4725342,0.1341553,-21.97265,-14.64844,18.61572
0.9539795,0.1826172,0.1834717,0.4882812,-17.21191,3.540039
0.9682617,0.5633545,0.2255859,1.342773,10.68115,33.69141
0.8533936,0.3864746,0.3188477,11.53564,28.44238,24.71924
0.7038574,0.5491943,0.0826416,29.41894,7.507324,-4.943848
break
0.9378662,0.6488037,-0.222168,-19.71436,-16.11328,-12.69531
0.9973145,0.4168701,0.00390625,-31.61621,-13.18359,8.361816
0.9639893,0.3405762,0.1575928,-17.63916,-3.662109,6.408691
0.9637451,0.364624,0.2872314,18.00537,3.295898,13.48877
0.8480225,0.3764648,0.2711182,6.530761,21.60644,19.59229
0.7541504,0.6472168,0.05090332,22.52197,12.75635,0.6713867
break
0.8466797,0.651123,-0.2757568,-11.23047,-10.68115,-10.80322
0.9974365,0.3970947,0.001831055,-35.03418,-12.3291,-1.098633
1.033691,0.2700195,0.1782227,-8.605957,-4.943848,13.48877
0.9692383,0.3277588,0.1766357,2.075195,7.385253,19.34814
0.8973389,0.4760742,0.239624,-0.3051758,8.422852,22.33887
0.8144531,0.5860596,-0.02978516,6.958007,11.53564,22.09472
0.7658691,0.5317383,-0.1932373,12.45117,-1.037598,-11.1084
break
0.8571777,0.6495361,-0.1572266,-20.69092,-11.71875,-4.02832
0.9892578,0.3660889,-0.004760742,-24.35303,-20.26367,1.281738
0.96875,0.3299561,0.2236328,-8.972168,5.676269,20.08056
0.9084473,0.3369141,0.2490234,13.85498,-10.98633,11.65771
0.9605713,0.5336914,0.09643555,17.02881,2.807617,24.53613
0.7637939,0.5899658,-0.1936035,16.8457,2.13623,-13.79394
break
0.9676514,0.5249023,-0.1763916,-19.89746,-7.751464,-8.117676
1.000854,0.3769531,0.08996582,-24.96338,-3.662109,3.540039
0.9606934,0.203125,0.2463379,-5.615234,-6.530761,6.16455
0.9857178,0.4343262,0.07495117,6.958007,-9.94873,9.338379
0.8659668,0.3902588,0.2926025,-6.958007,13.61084,24.10888
0.8282471,0.4277344,0.1905518,17.8833,14.4043,9.94873
0.7896729,0.6557617,-0.126709,30.70068,-2.868652,2.075195
break
0.9586182,0.5028076,-0.1135254,-24.04785,-21.24023,-1.770019
0.9782715,0.3948975,0.2034912,-30.57861,10.0708,14.4043
0.9594727,0.395752,0.2486572,3.601074,-7.690429,11.59668
0.8763428,0.52771,0.1193848,11.77978,19.89746,23.19336
0.7427979,0.6407471,0.05078125,20.32471,-2.380371,13.3667
0.7061768,0.6538086,-0.07507324,2.13623,2.624511,-5.432128
break
0.9387207,0.5797119,-0.1118164,-26.00097,-10.43701,-9.399414
0.9411621,0.4030762,0.1015625,-20.44678,-4.699707,9.70459
0.9467773,0.3878174,0.1895752,-2.868652,-1.525879,4.699707
0.9372559,0.532959,0.1843262,3.295898,2.929687,21.60644
0.8366699,0.526001,0.1182861,10.92529,10.0708,18.43262
0.7391357,0.6674805,0.09912109,17.02881,2.075195,13.97705
0.7446289,0.711792,-0.1293945,15.74707,-6.530761,0.1831055
break
0.829834,0.5758057,-0.08789063,-5.126953,-15.8081,-20.56885
1.028931,0.5108643,-0.04370117,-37.96387,-10.31494,-1.708984
1.004517,0.4248047,0.09667969,-32.53174,1.281738,11.90185
0.9025879,0.3942871,0.2998047,0.6103516,-5.310058,9.94873
0.9007568,0.5892334,0.09680176,2.380371,2.563476,16.17432
0.791626,0.5262451,0.1973877,15.07568,18.98193,21.78955
0.7548828,0.6419678,-0.1135254,13.97705,2.380371,-1.89209
break
0.8770752,0.5791016,-0.1439209,-31.79931,-21.05713,-9.155273
0.9445801,0.4265137,0.149292,-35.82764,-1.037598,6.286621
0.9454346,0.4034424,0.2102051,-15.01465,-14.95361,-1.342773
0.8843994,0.5144043,0.2637939,2.075195,-3.723144,17.7002
0.8464355,0.5267334,0.2287598,0.5493164,13.61084,21.30127
0.6931152,0.5461426,0.1192627,22.46094,8.361816,7.385253
0.7563477,0.815918,-0.2458496,17.27295,-1.647949,-0.9765624
break
0.8623047,0.5748291,-0.1334229,-28.86963,-11.23047,-10.98633
1.048828,0.4215088,0.08862305,-23.4375,-11.96289,1.953125
0.9494629,0.2935791,0.2528076,-9.70459,-1.342773,15.01465
0.946167,0.4400635,0.1427002,4.272461,-9.887695,5.493164
0.8552246,0.5706787,0.2816162,1.831055,13.00049,15.74707
0.7436523,0.5715332,0.2866211,21.48437,13.24463,13.24463
0.7601318,0.7432861,-0.125,35.82764,-5.554199,4.211426
break
0.8099365,1.069824,0.2884521,-31.79931,6.286621,-5.798339
1.355713,0.3677979,-0.1949463,3.112793,-6.408691,1.342773
0.5427246,0.8880615,0.817627,-68.72559,46.38671,-41.25976
0.883667,0.7370605,-0.004760742,-26.61133,-5.615234,4.882813
0.7491455,0.614502,0.2980957,-26.85547,26.7334,-12.08496
break
0.619751,0.7172852,0.06286621,3.601074,5.249023,-2.13623
0.6638184,0.8494873,-0.1175537,9.399414,-1.525879,-3.784179
0.6168213,0.7592773,-0.03430176,-2.441406,8.544922,-5.981445
0.6972656,0.80896,-0.02416992,-5.493164,-23.37646,4.638672
0.901001,0.6468506,-0.1665039,-25.45166,4.699707,21.66748
0.706543,0.4838867,0.2283936,-9.58252,14.70947,7.93457
0.7896729,0.8284912,0.1077881,1.464844,-11.23047,19.16504
0.777832,0.5968018,0.07299805,6.225585,7.507324,24.10888
0.7652588,0.7481689,0.08605957,9.094238,15.8081,23.6206
0.6075439,0.6884766,0.04333496,16.41846,8.422852,15.625
0.8457031,0.5339355,-0.1486816,-4.699707,-31.12793,-61.34033
break
0.706665,0.729248,-0.2502441,5.004883,-6.286621,-6.408691
0.8111572,0.6306152,-0.144165,-26.79443,-1.159668,-7.202148
0.928833,0.5727539,0.09545898,-15.56396,-19.71436,9.094238
0.9927979,0.4814453,-0.0222168,-11.53564,-0.1220703,17.45605
0.8572998,0.4897461,0.2161865,-8.422852,16.29639,19.65332
0.8111572,0.625,0.15979,9.216309,13.06152,20.81299
0.6494141,0.5771484,0.01098633,8.056641,18.06641,13.42773
0.8494873,0.4873047,-0.2020264,-4.699707,-24.41406,-41.13769
break
0.7564697,0.7774658,-0.2952881,-3.051758,-13.91601,-7.141113
0.854126,0.6154785,-0.07275391,-42.66357,-7.873535,4.211426
0.9106445,0.4709473,0.1407471,-6.408691,-3.784179,17.7002
0.7927246,0.7890625,0.1571045,18.67676,6.16455,16.29639
0.677002,0.6643066,-0.02099609,7.629394,27.77099,22.3999
0.5349121,0.6019287,-0.02209473,26.85547,-21.78955,-12.39014
break
0.697876,0.7258301,-0.1175537,13.48877,-14.5874,-9.58252
0.8013916,0.7773438,-0.2547607,-23.19336,-13.97705,0.9765624
0.9431152,0.5507813,0.1331787,-31.86035,7.324218,11.47461
0.8430176,0.3612061,0.229248,-8.483887,-3.662109,14.28223
0.8653564,0.699585,0.09692383,4.760742,1.831055,10.43701
0.7011719,0.71521,0.1297607,-4.150391,22.15576,22.3999
0.6477051,0.6401367,0.08251953,10.00977,10.37598,10.43701
0.7550049,0.6833496,-0.1551514,13.61084,-7.629394,-14.83154
break
0.737915,0.5916748,-0.2120361,11.77978,-11.16943,-18.12744
0.9104004,0.7786865,-0.1972656,-21.54541,-14.64844,-5.187988
