accel_data0, accel_data1, accel_data2,gyro_data0,gyro_data1,gyro_data2 
0.8276367,0.6484375,0.1148682,-7.873535,11.53564,9.155273
0.7711182,0.6359863,0.1956787,-8.728027,25.26855,12.08496
0.7247314,0.5861816,0.06066895,18.67676,-11.35254,0.1831055
0.8231201,0.6851807,-0.168457,5.981445,-11.65771,-5.371093
0.8354492,0.7016602,0.0480957,-13.24463,2.380371,7.690429
0.8607178,0.6068115,0.1154785,-6.835937,-5.554199,13.91601
0.8310547,0.5651855,0.1069336,-4.638672,-2.624511,16.54053
0.7264404,0.666626,0.08190918,5.676269,1.037598,5.432128
0.7224121,0.6835938,0.01062012,13.12256,-0.6713867,-2.746582
0.7711182,0.6131592,0.01586914,5.371093,-20.01953,-13.97705
0.9376221,0.6051025,-0.0612793,1.831055,-27.46582,1.708984
0.9610596,0.506958,0.03833008,-17.15088,3.417969,21.11816
0.9085693,0.4685059,0.2767334,-2.319336,-3.601074,17.82227
0.8977051,0.7067871,-0.04858398,-4.516602,35.21729,35.09521
0.6225586,0.5250244,0.1514893,-30.15137,52.55127,26.30615
0.9768066,0.2597656,-0.02514648,-15.93017,-37.53662,-56.51855
0.8626709,0.8311768,-0.1265869,-3.051758,-29.05273,-76.53809
break
0.8713379,0.7133789,-0.236084,-0.9765624,-7.8125,-3.112793
0.8569336,0.5673828,0.05065918,-3.90625,2.746582,6.225585
0.9122314,0.534668,0.0324707,-6.713867,-2.441406,14.95361
0.7689209,0.5064697,0.04199219,0.4882812,-5.126953,8.728027
0.7064209,0.7008057,-0.02099609,-2.441406,-8.666992,-3.967285
0.7077637,0.6447754,-0.004638672,-2.685547,-1.464844,-10.37598
0.854126,0.7189941,0.07836914,11.16943,-23.98681,-10.49805
0.9570313,0.5695801,-0.1525879,11.71875,-31.49414,8.605957
0.9094238,0.4594727,0.1533203,-16.05225,10.0708,11.35254
0.8208008,0.6655273,0.1593018,5.187988,7.019042,20.38574
0.746582,0.7375488,-0.0904541,0.9155272,33.14209,24.29199
0.6561279,0.5228271,0.004516602,-26.79443,5.798339,-24.90234
1.022217,0.7427979,-0.3763428,-4.455566,-34.48486,-38.69629
break
0.8735352,0.7260742,-0.2641602,-11.77978,1.281738,4.211426
0.8625488,0.4606934,0.03369141,-12.45117,5.859375,10.92529
0.8713379,0.5205078,0.03479004,1.770019,-8.789063,11.47461
0.8162842,0.5930176,-0.04663086,4.638672,-5.371093,4.455566
0.6671143,0.6624756,-0.003295898,-6.896972,6.225585,-1.098633
0.7202148,0.6466064,-0.03369141,-5.126953,0.0,-7.446289
0.8442383,0.5905762,-0.06762695,10.55908,-38.14697,-3.845215
1.045288,0.5690918,-0.1398926,-2.01416,-18.06641,3.112793
0.9019775,0.4840088,0.15625,-5.371093,-0.06103515,13.67187
0.8649902,0.6193848,0.04821777,12.93945,3.234863,11.77978
0.8000488,0.7050781,-0.1539307,-12.75635,38.20801,12.20703
0.6424561,0.5135498,-0.01245117,-22.76611,24.16992,-2.685547
0.9133301,0.4777832,-0.2010498,-8.117676,-22.94922,-30.15137
break
0.8574219,0.6573486,-0.1970215,-8.911133,6.469726,0.5493164
0.8664551,0.5595703,0.05895996,-7.141113,3.601074,7.080078
0.9185791,0.5836182,0.02124023,-0.3662109,6.286621,15.38086
0.7758789,0.506958,-0.01782227,7.93457,-3.234863,3.356933
0.7642822,0.7337646,-0.112793,6.835937,-7.995605,-0.3051758
0.7495117,0.6641846,-0.1055908,-16.23535,5.371093,5.676269
0.7672119,0.5797119,0.00769043,6.408691,-11.65771,-12.63428
0.939209,0.6196289,-0.2296143,5.737304,-27.03857,-1.403808
0.9376221,0.4041748,-0.0168457,-18.12744,-3.601074,12.81738
0.9143066,0.4431152,0.2133789,-2.075195,8.239746,4.02832
0.8673096,0.6102295,0.05725098,10.43701,11.35254,9.216309
0.7036133,0.5684814,-0.0006103516,-3.234863,31.86035,10.92529
0.769043,0.6358643,-0.3432617,1.403808,-1.953125,-7.690429
break
0.9056396,0.6553955,-0.1953125,-20.81299,11.41357,3.90625
0.8540039,0.4538574,0.07312012,-8.544922,4.760742,7.690429
0.8990479,0.5667725,0.04296875,4.699707,-3.051758,8.544922
0.7957764,0.5977783,-0.006225586,2.380371,2.746582,9.399414
0.7689209,0.6776123,-0.1019287,-1.953125,0.6713867,2.685547
0.756958,0.6922607,-0.03833008,-2.319336,1.708984,-1.586914
0.7614746,0.5328369,-0.02270508,7.93457,-13.73291,-7.93457
0.894043,0.6647949,-0.1982422,-11.16943,-19.71436,0.6713867
0.9503174,0.4682617,0.0513916,-16.60156,-5.126953,10.62012
0.9110107,0.4083252,0.0970459,-10.62012,-5.249023,10.37598
0.8720703,0.5406494,0.1568604,0.3051758,3.173828,7.8125
0.8153076,0.6643066,0.0760498,-4.882813,29.96826,15.50293
0.9798584,0.4902344,-0.2110596,-14.83154,-15.31982,-34.97314
break
0.8356934,0.6287842,-0.284668,16.29639,-14.28223,-3.540039
